allolectotype
alloneotype
allotype
cotype
epitype
exepitype
exholotype
exisotype
exlectotype
exneotype
exparatype
exsyntype
extype
hapantotype
holotype
iconotype
isolectotype
isoneotype
isosyntype
isotype
lectotype
neotype
notatype
paralectotype
paraneotype
paratype
plastoholotype
plastoisotype
plastolectotype
plastoneotype
plastoparatype
plastosyntype
plastotype
secondarytype
supplementarytype
syntype
topotype
type
