A. Musgrave and T.G. Campbell,6000218
"A. Musgrave, H.Hughes",6000221
"A. Musgrave, L.Hopson",6000222
A. Musgrove,6000224
A. N. Burns,6000408
A. N. Burns :G. A. Waterhouse Collection,6000225
A. N. Colefax,2000075
A. N. Dodd,6000406
A. Neboiss,6000066
A. Osborn,1022564
A. Osborne,5000253
A. Ostin & A. Cliffe,6000229
A. P. Dodd,6004947
A. Peters,1007150
A. Pople,6000230
A. R.,6000235
A. R. Gillogly,6000411
A. R. McCulloch,6000231
A. R. Mccullock,5000559
A. R. Nand,6000416
A. R. Ward,6000420
A. R. Woodhill,6000421
A. Ratchford,1017399
A. Reid,6000232
A. Richardson,6000233
A. Ridley,1018945
A. Riedel,5007453
A. Robertson,6000234
A. Rose,6000236
A. Rosegger,6000237
A. S. Hunt,6000424
A. S. Le Scuef,6000425
A. S. Marshall,6000430
A. S. Meek,6000426
A. S. Olliff,1003164
A. S. Ward,6000428
A. Scanlon,1019693
A. Schellen,6000238
A. Scott,6000069
A. Scott & A. Sundholm,6000240
"A. Scott, R. de Keyzer & A. Sundholm",6000241
A. Simmons,1021499
A. Simson,6000243
A. Smith,5000302
A. Snell,6000072
A. Solomon,1008109
A. Standridge,6000246
A. Stewart,6000247
A. Stokes,6000248
A. Stokes and A. Skeat,6000249
A. Stokesand A.Skeat,6000250
A. Sundholm,6000251
A. Sundholm  & R. deKeyzer,6000252
A. Sundholm & A Scott,6000253
A. Sundholm & A.Scott,6000255
A. Sundholm & G. Clark.,6000256
A. Sundholm & J. Budgeja,6000257
A. Sundholm & J. Bugeja,6000258
A. Sundholm & J. turner,6000259
A. Sundholm & Joe Bugeja,6000260
A. Sundholm & R. Besjai,6000262
A. Sundholm & R. de Keyzer,6000437
"A. Sundholm, A Scott & R. de Keyzer",6000265
"A. Sundholm, G. Clark & R. de Keyzer",6000267
"A. Sundholm, R de Keyzer & G. Clarke",6000268
"A. Sundholm, R. de Keyzer & A. Scott",6000269
"A. Sundholm, R. de Keyzer & G. Clark",6000270
"A. Sundholm, R. de Keyzer, A. Scott",6000272
"A. Sundholm, R. deKeyzer & G. Clarke",6000273
A. Sundholme,1013430
A. Sundhom,6000275
A. Sundolm,6000276
A. Sundolm & J. Bugeja,6000277
A. Sungholm,6000278
A. Sungholm & R. de Keyzer,6000279
A. Sunholm,6000280
A. Sunholm & R. de Keyzer,6000281
A. T. Cassingham,6000282
A. Thomas,1011675
A. Tolhurst,6000440
A. Tonnior,6000283
A. Tonnoir,6000284
A. Turner,6000319
A. U. Burns,6000441
A. W. Lea,6000442
A. W. Smith,6000445
A. Walford-Huggins,6000285
A. Watson,1018594
A. Wells,10008345
A. Wheen,1008145
A. Williams,5000325
A. Wright,1019483
A. York,1020589
A. Yuille,5008664
A. Zeitz,1006398
A. Zietz,6000289
A. Zwick,1020400
A.A. Calder,6000106
A.A. Cameron,6000089
A.A. Girault,6000297
A.A. Livingstone,6000147
A.A. Skuse,6000042
A.A. Valerio,1018774
A.B. Bell,6000298
A.B. Pope,6000300
A.B. Rose,2000338
A.C. Eyles,1018262
A.C. Miller,10008340
A.C. Schellen,6000307
A.C. Wellick,6000046
A.D. Austin,1015090
A.D. Bishop,6000114
A.D. Hegedus,1012016
A.E. Baesjou,5000398
A.E. Church,1025384
A.E. Jobson,6000313
A.E. Shaw,6000314
A.F. D' Ombrain,6000315
A.F. Emeljanov,1007211
A.F. Grant,6000317
A.F. Newton,1020198
A.F.B. Hull,6000320
A.G. Crowne :Waterhouse collection,6000321
A.G. Crowne: G.A. Waterhouse collection,6000322
A.G. Edquist,6000323
A.G. Hamilton,6000324
A.G. Hamilton: G.A. Waterhouse collection,6000326
A.G. Hamilton; Waterhouse Collection,6000328
A.G. Nicholls,6000330
A.G. Smithers,6000331
A.G. Taylor,6000332
A.H.,6000334
A.H. Ahrens,6000129
A.H. Elston,6000130
A.H. Hardy,6000053
A.H. Henry,6000337
A.H. Murray,6000338
A.H. Rine,6000339
A.H.C. Zietz,6000340
A.H.W.,6000341
A.I. Knight,6000344
A.J. Barret,6000345
A.J. Barrett,5007411
A.J. Bearup,4003985
A.J. Brandon,6000347
A.J. Crowne :Waterhouse collection,6000348
A.J. Graham,6000360
A.J. Marshall,5000156
A.J. Marshall & E. Austen,6000351
A.J. Marshall: G.A. Waterhouse collection,6000352
A.J. Nicholson,6000353
A.J. North,6000354
A.J. Pope,6000355
A.J. Scrambler,6000356
A.J. Spencer,6000357
A.J. Thomas,1018569
A.J. Turner,1003451
A.J. Vogan,1008125
A.L. Brown,1003418
A.L. Dyce,6000365
A.L. Franklin,6000366
A.L. Johnson,1022649
A.L. McLean,1018107
A.L. Tonnoir,6000367
A.L. Yen,6000368
A.L. Yen & J.L.B.,6000369
