"bounding up tree trunk in series of short quick flights|-33.65|151.13|10000",6037268
"Calumet 26m. N.E. of Binnaway|-31.292|149.07|10000",6055233
"Coomeroo near Thirlmere|-34.2779|150.5796|10000",6034273
"Garrawilla, Mulalley Garrawilla (parish), Mulalley incorrect spelling= Mullaley|-31.08|149.92|100000",5012499
"Lorien, 3km N of Lansdowne|-31.753487|152.537747|10000",1094240
"Lorien, 8km N of Lansdowne, nr Taree|-31.753487|152.537747|10000",1094240
"Woolondoon, Rowena, NSW|-18.709|143.7|10000",1128377
"(Bottle E.) Penrith|-33.7513|150.6943|10000",6059146
"(topside) Moores' Riv. (underside) Mogamber|-31.0355|116.0417|1000",1143515
"(topside) Tammin (underside) Cunderin WA 10 mile heading E|-31.6514|117.3417|10000",1143518
"?km from top end ofTucker Box Rd, Beaury SF|-28.4814|152.4003|100",5006728
"0.25km S of jnct Tubrabucca & Omadale Brook Rds|-31.9153|151.4|100",5006085
"0.7KM E OF WIRRINYA->CARAGABAL RD INTERSECTION. LINE HEADS E|-33.66811|147.81508|",1097488
"0.9KM E OF WIRRINYA->CARAGABAL RD INTERSECTION. LINE HEADS E|-33.66811|147.81508|",1097219
"0.9km S along Chaelundi rd from Big Bull Rd Mt Hyland Nat Res|-30.1539|152.4661|100",5006285
"0-100m|-21.15|-175.23|10000",1144946
"1 m. S. Crystal Springs, Nornalup National Park, WA, M.V. Lamp|-34.983828|116.606658|10000",1108472
"1 mi. N. Quang Tri, Vietnam|16.76|107.1921|10000",1147680
"1.2KM FROM EASTERN RD WHICH IS 350M S OF CAMP RD.  LINE GOES S STARTING 20M FROM RD|-33.77156|147.79984|",1097272
"1.2KM FROM EASTERN RD WHICH IS 350M S OF CAMP RD.  LINE GOES S STARTING 220M FROM RD|-33.77156|147.79984|",1097274
"1.8km N of ford on Karuah River on Karuah River Rd Chichester SF|-32.0994|151.7217|100",6034377
"1.8km N of ford on Karuah River on Karuah River Rd. Chchester SF|-32.0994|151.7217|100",6034377
"10 km N.W. of Tuglo|-32.2754|151.2919|1000",6054278
"10 S Margaret River WA|-18.77|126.86|100000",1087845
"10km S. Ayr|-19.624|147.481|10000",1133353
"10m NSW Coolabah|-30.911|146.614|10000",1129520
